,CR GNN,CR MLP,CR LSTM,Date
0,100.0,100.0,100.0,2018-04-07
1,100.08046447583392,100.1967772624858,100.12632705206504,2018-04-08
2,100.34806886843045,100.8612379881281,100.44184346098359,2018-04-09
3,100.319935012808,100.79072324186731,100.46007528972898,2018-04-10
4,100.29103589846564,100.7184409814637,100.47750281190011,2018-04-11
5,100.26554216626853,100.6548063224814,100.49835571601109,2018-04-12
6,100.36502136527396,100.90379587621945,100.64645066261761,2018-04-13
7,100.06675491987662,100.16314361909684,100.38899286158325,2018-04-14
8,99.15980152926629,98.05979811684132,99.50301564286457,2018-04-15
9,99.65723939586108,99.18066260998346,100.06067768258428,2018-04-16
10,100.84887314134072,102.13637761058784,101.33235841612648,2018-04-17
11,100.65387263122285,101.63594746265072,101.1807797088063,2018-04-18
12,99.8913920896585,99.73690912176463,100.44104339528224,2018-04-19
13,99.48293089160425,98.7776084810327,100.06197580307179,2018-04-20
14,99.727009940204,99.3447322992963,100.36291444291817,2018-04-21
15,100.63452560101591,101.5865371213385,101.35499658433798,2018-04-22
16,100.51267642994934,101.27650059935347,101.27708987963825,2018-04-23
17,100.35007341736852,100.86626760432766,101.15601978200823,2018-04-24
18,100.27481693264335,100.67794266093941,101.1255613625895,2018-04-25
19,100.82335185986902,102.07065392161694,101.74782951539379,2018-04-26
20,100.79684724700346,102.0024654784443,101.76967408575027,2018-04-27
21,101.30738864208433,103.32514853771353,102.35188635018721,2018-04-28
22,101.34595362687182,103.42557504998031,102.44256264101487,2018-04-29
23,101.840603549065,104.71361875592315,103.0070563577691,2018-04-30
24,101.73435162700098,104.4373489686314,102.94822399183563,2018-05-01
25,102.18780563306673,105.61200525333088,103.46927761526727,2018-05-02
26,102.20872480804242,105.66584387069118,103.54274517852511,2018-05-03
27,102.54550473901831,106.5263768386426,103.94208133247666,2018-05-04
28,102.35002176005841,106.02839616660373,103.79270413218424,2018-05-05
29,102.39123916545492,106.1337656503001,103.8874047292214,2018-05-06
30,102.28240846689505,105.85515555094742,103.8269999264718,2018-05-07
31,102.53628708590267,106.50300027862203,104.14164536021093,2018-05-08
32,101.5617271907378,103.98779949260302,103.17929331665768,2018-05-09
33,101.53411849095109,103.91585725888694,103.20182724320435,2018-05-10
34,101.12664666612572,102.85512459961153,102.82262386553982,2018-05-11
35,101.67077479224159,104.27185731791721,103.44890851359293,2018-05-12
36,102.42815531184799,106.22797754878093,104.29165613677472,2018-05-13
37,102.80877339581829,107.18904793939245,104.73737393730408,2018-05-14
38,103.21815171801848,108.19692498695585,105.20987936006476,2018-05-15
39,102.07920867201996,105.33191741621806,104.08544832786278,2018-05-16
40,102.54419339505925,106.52305185725596,104.62184976937856,2018-05-17
41,102.55052028707416,106.53909196139433,104.68096519983945,2018-05-18
42,101.54202556488406,103.93646192480557,103.67632012892958,2018-05-19
43,101.66443233485963,104.25534195960601,103.85807200066948,2018-05-20
44,101.22031540281242,103.09855557019374,103.43731690282819,2018-05-21
45,101.86110970094502,104.76688293827274,104.17034448228601,2018-05-22
46,101.95212739654636,105.00303874142642,104.31863088275703,2018-05-23
47,102.14795014021905,105.50932499439256,104.57681036675719,2018-05-24
48,102.19748255489034,105.63691513232556,104.68125385955504,2018-05-25
49,102.79491126717946,107.15441285057688,105.35485932539726,2018-05-26
50,102.79468512296297,107.15384756871786,105.40730430486664,2018-05-27
51,103.27564064184517,108.33591732000475,105.9530825398904,2018-05-28
52,104.39747040275998,110.88818247339852,107.13209781323675,2018-05-29
53,105.02770649561226,112.15778043154077,107.80219075722661,2018-05-30
54,105.05501310567556,112.20965286669356,107.87992433220965,2018-05-31
55,105.92523721886309,113.71010754685653,108.76504318384077,2018-06-01
56,106.36743145323425,114.34901658097712,109.23024382552875,2018-06-02
57,106.1415367298804,114.03370455383867,109.06804311849912,2018-06-03
58,105.5463604340863,113.09450256084612,108.55530782447032,2018-06-04
59,106.22919429411282,114.15885226919302,109.24824206066006,2018-06-05
60,106.38065330599167,114.36673774888422,109.43765318863392,2018-06-06
61,105.8998500686269,113.67077198209041,109.03874943412669,2018-06-07
62,105.57943493968978,113.15063470226876,108.7867038690066,2018-06-08
63,105.58860276225508,113.16611448558585,108.84511928566063,2018-06-09
64,105.2017426649173,112.48364022675939,108.52822922517507,2018-06-10
65,105.55575050744255,113.11048430501667,108.91346185714386,2018-06-11
66,106.39515368052703,114.38607788914514,109.74041489149926,2018-06-12
67,106.89703294451,114.9928054069703,110.24135031337512,2018-06-13
68,106.57649408977343,114.61949411916623,110.00025577632952,2018-06-14
69,106.77083825074864,114.85193258978792,110.22188468969321,2018-06-15
70,106.26903665824426,114.21457041230616,109.81680634413821,2018-06-16
71,105.99452499180262,113.81602757979098,109.61436219273178,2018-06-17
72,104.25852398841424,110.59081640760573,108.02518179413589,2018-06-18
73,104.16491948106822,110.38720486655316,107.98502474363725,2018-06-19
74,104.16205294925678,110.38092874271852,108.0332143792903,2018-06-20
75,104.74189199892665,111.5987758782327,108.6418819829547,2018-06-21
76,104.4006337891553,110.894883209,108.36559651224151,2018-06-22
77,104.2282172295407,110.52517675848614,108.24983210404679,2018-06-23
78,103.31766759604749,108.43709416523461,107.40546221147136,2018-06-24
79,104.00634964364102,110.03647955488935,108.13610406151228,2018-06-25
80,104.52122629635826,111.14796351125375,108.68197729345914,2018-06-26
81,103.9184546154467,109.83904288001791,108.15217750010015,2018-06-27
82,104.08199128308529,110.20467702071197,108.36138134746697,2018-06-28
83,104.44040656684794,110.97886242755943,108.75489585620501,2018-06-29
84,104.73765205631298,111.59026795099555,109.08490565534026,2018-06-30
85,104.49621980212449,111.09586539140508,108.90723494603655,2018-07-01
86,104.70839233650007,111.53138775802256,109.15593712262479,2018-07-02
87,105.2211145166579,112.51920693474844,109.67782198714193,2018-07-03
88,105.77248716210758,113.46922704762635,110.22118793725029,2018-07-04
89,105.67658821873458,113.31291194749964,110.18280785090462,2018-07-05
90,105.39817773137403,112.83758128527381,109.98114240179927,2018-07-06
91,105.41459901954451,112.8664858289481,110.04312423941538,2018-07-07
92,105.81694095430404,113.54036437821,110.44609253560307,2018-07-08
93,105.88364103242998,113.64551055402536,110.55031714482962,2018-07-09
94,105.78508636979545,113.48947458570258,110.51031973797136,2018-07-10
95,106.85271542381736,114.94424731377507,111.4597961325926,2018-07-11
96,105.56409789883983,113.12466119111235,110.40917726282771,2018-07-12
97,106.38824966012903,114.37688188383596,111.16112056981802,2018-07-13
98,105.44945230610156,112.92747872027269,110.40106467865644,2018-07-14
99,105.34122817710329,112.73651435173593,110.35227154610874,2018-07-15
100,105.43243499372616,112.89775910183005,110.47845034684123,2018-07-16
101,104.88306017092867,111.87849329166859,110.0388906521622,2018-07-17
102,105.34574319015687,112.74457356108255,110.49478773028478,2018-07-18
103,105.70134446121699,113.35363522004236,110.84717950020529,2018-07-19
104,105.4592498385081,112.94453694342839,110.68469691252176,2018-07-20
105,105.26324633585303,112.59606543157936,110.5606319187447,2018-07-21
106,105.04926787016863,112.19876180711807,110.41980467894909,2018-07-22
107,104.87456273947022,111.86185334114529,110.31238549864655,2018-07-23
108,105.35179390202552,112.75536143692158,110.77356350358805,2018-07-24
109,104.97963997140015,112.0658097190263,110.49714215042479,2018-07-25
110,105.60583189518344,113.19511221911162,111.07852606321646,2018-07-26
111,105.7390910538967,113.41523174028868,111.23374334867025,2018-07-27
112,105.46457790571098,112.95379735362346,111.04839435525089,2018-07-28
113,106.53359844865923,114.56570407662672,111.95964531965663,2018-07-29
114,105.90277767743386,113.6753224231198,111.49802885791944,2018-07-30
115,105.57200576622255,113.13806531749265,111.269925631774,2018-07-31
116,106.3881843372867,114.37679476790763,111.96895383455099,2018-08-01
117,105.71230230892252,113.37157849393978,111.47159528733006,2018-08-02
118,105.21108138434782,112.50080396084866,111.10103891606364,2018-08-03
119,105.06109638491222,112.2211714926833,111.01923772440195,2018-08-04
120,104.81649262684918,111.74745809409872,110.8563417230532,2018-08-05
121,105.4152513424825,112.86763182948474,111.4011565980646,2018-08-06
122,105.5324755287879,113.07080483781544,111.53948705248331,2018-08-07
123,105.8949550353062,113.66315520800336,111.87076962778502,2018-08-08
124,106.55551486551784,114.59329784775967,112.41735900205802,2018-08-09
125,106.74801307132802,114.82559984509551,112.59833664673297,2018-08-10
126,107.20465167714856,115.30203253173276,112.9631338115904,2018-08-11
127,106.70753732591463,114.7782676176934,112.6451061979765,2018-08-12
128,106.56067439618968,114.59976019085936,112.57611529624805,2018-08-13
129,107.16986008905755,115.26953394462262,113.0475536836725,2018-08-14
130,107.1653536513286,115.26527778461111,113.08035608837268,2018-08-15
131,106.39634082467997,114.38765687410562,112.57095368045586,2018-08-16
132,106.83427619745981,114.92375131306147,112.92248172019283,2018-08-17
133,106.2900200798071,114.24362010546021,112.56997712695957,2018-08-18
134,106.63044063300018,114.68587416274825,112.85252857719227,2018-08-19
135,107.25948174945623,115.35194701231784,113.31993066494486,2018-08-20
136,107.59192927745313,115.61985416309166,113.57058388186445,2018-08-21
137,107.70207083920928,115.69518459235172,113.67312298378653,2018-08-22
138,107.59264619016842,115.6203663967273,113.63660784657164,2018-08-23
139,107.93019723973025,115.82936702114193,113.87726870112789,2018-08-24
140,107.81431424682314,115.76491962431578,113.8380050065485,2018-08-25
141,106.9815075930272,115.08259517087166,113.34245055533336,2018-08-26
142,106.12276932626152,114.00645635806619,112.79025967359142,2018-08-27
